date,p0_filt,p1_filt,p2_filt,p0_smooth,p1_smooth,p2_smooth
2025-04-23,0.012231660795693195,0.01645542469682074,0.971312914507486,0.005071264367524277,0.03450933164532378,0.9604194039869519
2025-04-24,0.049244284923827354,0.7828762547881872,0.16787946028798542,0.010557180024468099,0.8994366117480176,0.09000620822755061
2025-04-25,0.017287756166912596,0.95912980379882,0.023582440034267526,0.0035095379187840533,0.9846998808689954,0.011790581212181789
2025-04-28,0.011510705606145078,0.9745068345095168,0.013982459884338067,0.002159517447739868,0.9896735094640083,0.008166973088242947
2025-04-29,0.007517076399962849,0.9833124536800838,0.009170469919953302,0.0013817902274344675,0.9792355365625911,0.019382673209963307
2025-04-30,0.010663444721025178,0.7817140682448751,0.2076224870340998,0.002070238825238337,0.7853919212118927,0.21253783996288883
2025-05-01,0.01279470675213816,0.8625398293708534,0.12466546387700854,0.0026519220332575535,0.8134705635809195,0.18387751438577615
2025-05-02,0.017098570963098064,0.5805043886977265,0.4023970403391755,0.0039041479610457193,0.7473890353287114,0.24870681671041964
2025-05-05,0.012557849178447753,0.9244833091421917,0.06295884167936049,0.0024365778126669933,0.9644609442147705,0.03310247797252895
2025-05-06,0.006914796991504046,0.9737831500197566,0.01930205298873933,0.0015904027527510719,0.9845792511436894,0.013830346103396594
2025-05-07,0.009067265030942946,0.9739523844988531,0.016980350470203933,0.0028000080453929317,0.9593088942274854,0.037891097726974236
2025-05-08,0.014189246768051967,0.6798123493102857,0.30599840392166244,0.006890545974403483,0.7537868226635475,0.2393226313620687
2025-05-09,0.013528111902647098,0.9459508069465246,0.04052108115082838,0.02008016479365392,0.8664577581648096,0.11346207704175168
2025-05-12,0.015085304737701167,0.8116862573204143,0.17322843794188456,0.058914728232736364,0.5869484639399261,0.35413680782718665
2025-05-13,0.472296323789991,0.17649553397504075,0.3512081422349683,0.20509829524424625,0.40463109123119867,0.39027061352442816
2025-05-14,0.15643168195552196,0.7704809814482837,0.07308733659619442,0.04512954512428015,0.9048144385495133,0.0500560163261009
2025-05-15,0.05812070752805336,0.8876538049854823,0.05422548748646421,0.020841709615336074,0.9496370195989912,0.029521270785753607
2025-05-16,0.08901282166676505,0.8899642211332041,0.021022957200030876,0.017190774698010863,0.9711241152783933,0.011685110023384071
