issuer,fdate,form,ccy,is_notes,prelim,subj_date,trade_date,is_exchange,is_equity,ntr,tot,ncpn,file
Oracle,2024-09-25,FWP,,False,False,,2024-09-25,False,False,0,0.0,4,Oracle_2024-09-25_FWP_0001193125-24-226101.htm
Oracle,2024-09-26,424B2,USD,True,False,,,False,False,4,6.25,4,Oracle_2024-09-26_424B2_0001193125-24-227049.htm
Oracle,2025-01-30,424B2,,False,True,2025-01-30,,False,False,0,0.0,0,Oracle_2025-01-30_424B2_0001193125-25-016274.htm
Oracle,2025-01-30,FWP,,False,False,,2025-01-30,False,False,0,0.0,3,Oracle_2025-01-30_FWP_0001193125-25-017365.htm
Oracle,2025-01-31,424B2,USD,True,False,,,False,False,6,7.75,5,Oracle_2025-01-31_424B2_0001193125-25-018491.htm
Oracle,2025-09-24,424B2,,False,True,2025-09-24,,False,False,0,0.0,0,Oracle_2025-09-24_424B2_0001193125-25-214032.htm
Oracle,2025-09-24,FWP,,False,False,,2025-09-24,False,False,0,0.0,4,Oracle_2025-09-24_FWP_0001193125-25-215807.htm
Oracle,2025-09-25,424B2,USD,True,False,,,False,False,6,18.0,6,Oracle_2025-09-25_424B2_0001193125-25-217490.htm
Oracle,2026-02-02,424B2,,False,True,2026-02-02,,False,True,0,0.0,0,Oracle_2026-02-02_424B2_0001193125-26-032739.htm
Oracle,2026-02-02,424B5,,False,True,2026-02-02,,False,True,0,0.0,0,Oracle_2026-02-02_424B5_0001193125-26-032654.htm
Oracle,2026-02-02,424B5,,False,False,,,False,True,0,0.0,0,Oracle_2026-02-02_424B5_0001193125-26-032756.htm
Oracle,2026-02-02,FWP,,False,False,,,False,True,0,0.0,0,Oracle_2026-02-02_FWP_0001193125-26-032650.htm
Oracle,2026-02-02,FWP,,False,False,,2026-02-02,False,False,0,0.0,7,Oracle_2026-02-02_FWP_0001193125-26-033882.htm
Oracle,2026-02-03,424B2,USD,True,False,,,False,True,8,25.0,7,Oracle_2026-02-03_424B2_0001193125-26-035603.htm
Oracle,2026-02-03,424B5,,False,False,,,False,False,0,0.0,0,Oracle_2026-02-03_424B5_0001193125-26-035662.htm
Oracle,2026-02-03,FWP,,False,False,,2026-02-03,False,True,0,0.0,0,Oracle_2026-02-03_FWP_0001193125-26-034351.htm
Oracle,2026-02-04,424B5,,False,False,,,False,True,0,0.0,0,Oracle_2026-02-04_424B5_0001193125-26-037818.htm
Oracle,2026-06-23,424B5,,False,False,,,False,False,0,0.0,0,Oracle_2026-06-23_424B5_0001193125-26-278585.htm
